

===== No.40 =====
(((33.0, 49.0), '+'), 'South'): 19
(((5.0, 48.0), '+'), 'West'): 11
(((45.0, 48.0), '+'), 'South'): 20
(((15.0, 44.0), '+'), 'North'): 17
(((22.0, 5.0), '+'), 'North'): 8
(((45.0, 16.0), '+'), 'East'): 20
(((10.0, 30.0), '+'), 'North'): 13
(((15.0, 24.0), '+'), 'East'): 18
(((3.0, 19.0), '+'), 'South'): 11
(((36.0, 38.0), '+'), 'East'): 21
(((25.0, 42.0), '+'), 'West'): 19
(((10.0, 1.0), '+'), 'North'): 3
(((18.0, 35.0), '+'), 'West'): 16
(((28.0, 26.0), '+'), 'West'): 16
(((22.0, 30.0), '+'), 'North'): 15
(((31.0, 27.0), '+'), 'North'): 15
(((44.0, 32.0), '+'), 'North'): 21
(((38.0, 15.0), '+'), 'North'): 19
(((2.0, 11.0), '+'), 'West'): 4
(((24.0, 8.0), '+'), 'South'): 10
(((1.0, 21.0), '+'), 'North'): 10
(((46.0, 33.0), '+'), 'North'): 20
(((44.0, 36.0), '+'), 'South'): 21
(((25.0, 21.0), '+'), 'West'): 17
(((34.0, 44.0), '+'), 'East'): 20
(((13.0, 40.0), '+'), 'East'): 14
(((40.0, 33.0), '+'), 'East'): 21
(((47.0, 32.0), '+'), 'North'): 21
(((37.0, 7.0), '+'), 'South'): 16
(((42.0, 4.0), '+'), 'South'): 19
(((4.0, 47.0), '+'), 'West'): 13
(((44.0, 5.0), '+'), 'South'): 19
(((35.0, 16.0), '+'), 'South'): 18
(((20.0, 11.0), '+'), 'South'): 11
(((8.0, 1.0), '+'), 'South'): 2
(((22.0, 31.0), '+'), 'South'): 15
(((7.0, 26.0), '+'), 'East'): 15
(((1.0, 29.0), '+'), 'South'): 13
(((17.0, 11.0), '+'), 'East'): 12
(((46.0, 18.0), '+'), 'North'): 21
(((18.0, 22.0), '+'), 'South'): 18
(((24.0, 45.0), '+'), 'West'): 19
(((34.0, 7.0), '+'), 'South'): 15
(((30.0, 7.0), '+'), 'South'): 11
(((37.0, 14.0), '+'), 'East'): 18
(((39.0, 38.0), '+'), 'West'): 21
(((17.0, 28.0), '|'), 'North'): 1
(((35.0, 10.0), '+'), 'East'): 15
(((20.0, 46.0), '+'), 'South'): 18
(((13.0, 24.0), '+'), 'North'): 10
(((21.0, 33.0), '+'), 'South'): 17
(((49.0, 24.0), '+'), 'South'): 20
(((4.0, 47.0), '+'), 'North'): 12
(((17.0, 48.0), '+'), 'North'): 18
